expected_return,risk,weight_005930.KS,weight_AAPL,weight_NVDA
0.0008095363732767605,0.017820140231792663,0.0,1.0,0.0
0.0008127336400277758,0.01744158054945372,0.02,0.98,0.0
0.0008159309067787912,0.017071937302844464,0.04,0.96,0.0
0.0008191281735298065,0.01671180216219261,0.06,0.9400000000000001,0.0
0.0008223254402808218,0.01636180298045182,0.08,0.92,0.0
0.0008255227070318372,0.016022604003744886,0.1,0.9,0.0
0.0008287199737828525,0.015694905491189313,0.12,0.88,0.0
0.0008319172405338678,0.015379442601107185,0.14,0.86,0.0
0.0008351145072848831,0.015076983388296869,0.16,0.84,0.0
0.0008383117740358985,0.014788325749997942,0.18,0.8200000000000001,0.0
0.0008415090407869139,0.014514293159226454,0.2,0.8,0.0
0.0008447063075379292,0.014255729036521655,0.22,0.78,0.0
0.0008479035742889444,0.014013489638213911,0.24,0.76,0.0
0.0008511008410399598,0.013788435384218685,0.26,0.74,0.0
0.0008542981077909752,0.013581420613325481,0.28,0.72,0.0
0.0008574953745419905,0.013393281839571431,0.3,0.7000000000000001,0.0
0.0008606926412930058,0.01322482468765347,0.32,0.68,0.0
0.0008638899080440211,0.013076809803273378,0.34,0.66,0.0
0.0008670871747950364,0.012949938156981596,0.36,0.64,0.0
0.0008702844415460518,0.012844836275139994,0.38,0.62,0.0
0.0008734817082970671,0.012762042024202079,0.4,0.6,0.0
0.0008766789750480827,0.012701991629137955,0.42,0.58,1.1102230246251565e-16
0.0008798762417990978,0.012665008610053317,0.44,0.56,0.0
0.0008830735085501131,0.012651295264343563,0.46,0.54,0.0
0.0009262453089817261,0.012615266254198322,0.42,0.56,0.020000000000000018
0.0009294425757327414,0.012581234137290493,0.44,0.54,0.020000000000000018
0.0009326398424837567,0.012570637978924364,0.46,0.52,0.020000000000000018
0.0009758116429153695,0.012557745137458741,0.42,0.54,0.040000000000000036
0.0009790089096663847,0.012526776548551992,0.44,0.52,0.040000000000000036
0.0009822061764174,0.012519356033126417,0.46,0.5,0.040000000000000036
0.0010285752436000283,0.01250201895426535,0.44,0.5,0.06000000000000005
0.0010317725103510436,0.01249781103740217,0.46,0.48,0.06000000000000005
